PuzzleId,FEN,Moves,Rating,RatingDeviation,Popularity,NbPlays,Themes,GameUrl,OpeningTags
001pC,r4rk1/pp3ppp/3b4/2p1pPB1/7N/2PP3n/PP4PP/R2Q1RqK w - - 5 18,f1g1 h3f2,870,76,91,433,mate mateIn1 middlegame oneMove smotheredMate,https://lichess.org/d04UP3XD#35,Sicilian_Defense Sicilian_Defense_McDonnell_Attack
002CP,r5k1/pp4pp/4p1q1/4p3/3n4/P5P1/1PP2Q1P/2KR1R2 w - - 4 24,f2e3 g6c2,925,84,69,90,endgame mate mateIn1 oneMove queensideAttack,https://lichess.org/pHZnIFdb#47,
002Mm,rn1qr1k1/ppp3pQ/3p1pP1/3Pp3/2P1P3/8/PP3PP1/R1B1K3 b Q - 2 16,g8f8 h7h8 f8e7 h8g7,939,81,97,236,deflection mate mateIn2 middlegame short,https://lichess.org/wAkPv4uG/black#32,Three_Knights_Opening Three_Knights_Opening_Other_variations
002Q2,7k/p4R1p/3p3r/2pN1n2/2PbBBb1/3P2P1/P3r3/5R1K w - - 1 28,f4h6 f5g3,954,75,100,378,cornerMate mate mateIn1 middlegame oneMove,https://lichess.org/yqAJ1jMv#55,
002p5,r1bqr1k1/pp1nbpp1/2p2n2/6P1/2BP4/P7/1PQNNPP1/R3K2R b KQ - 0 13,f6d5 c2h7 g8f8 h7h8,908,79,84,182,kingsideAttack mate mateIn2 middlegame short,https://lichess.org/meSoQkhU/black#26,French_Defense French_Defense_Exchange_Variation
003Jb,6k1/3bqr1p/2rpp1pR/p7/Pp1QP3/1B3P2/1PP3P1/2KR4 w - - 6 22,d4a7 e7g5 c1b1 g5h6,993,81,90,392,advantage fork master middlegame short,https://lichess.org/8RvK0idj#43,
004WZ,r6k/1b3pp1/p1q1pn1p/2p5/P1B5/1PN4Q/2P1RP1P/R4Kr1 w - - 2 26,f1g1 c6h1,874,97,94,132,mate mateIn1 middlegame oneMove,https://lichess.org/BQIdXPOM#51,
004XI,8/3kqp2/4p3/p2p4/3P1P2/4P1rP/7r/1QR2K2 b - - 1 34,e7a3 b1b7 d7e8 c1c8,982,90,70,35,endgame mate mateIn2 short,https://lichess.org/54fnArpo/black#68,
004nd,3q2k1/2r5/pp3p1Q/2b1n3/P3N3/2P5/1P4PP/R6K b - - 0 24,c7d7 e4f6 d8f6 h6f6,898,75,83,209,crushing fork middlegame short,https://lichess.org/IajkZZBp/black#48,
004yJ,r4rk1/1bp2ppp/p1q1pn2/2P5/8/3B1N2/P1P1QPPP/R4RK1 w - - 0 16,f3e5 c6g2,906,87,100,81,kingsideAttack mate mateIn1 middlegame oneMove,https://lichess.org/8N3Hfj05#31,French_Defense French_Defense_Exchange_Variation
005Ep,5kr1/ppR3p1/3R3p/8/1r1n4/8/1P3PPP/2K5 b - - 4 31,d4b5 d6d8,805,81,100,345,endgame mate mateIn1 oneMove,https://lichess.org/ttFEoJfQ/black#62,
005x9,r1b1kb1Q/ppp4p/6pB/3P4/2pn4/8/PPP1qPPP/RN1K3R w q - 2 13,d1c1 e2c2,818,80,100,241,mate mateIn1 middlegame oneMove queensideAttack,https://lichess.org/TiwHxq8n#25,Italian_Game Italian_Game_Rousseau_Gambit
0061g,6k1/pp3pp1/2p1q1Pp/3b4/8/6Q1/PB3Pp1/3RrNK1 b - - 2 27,e1d1 g3b8 e6e8 b8e8,801,93,73,269,endgame mate mateIn2 short,https://lichess.org/dJ3xEKJK/black#54,
